id,indra_time,reading_time,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gama,mid-gama,signal_quality
12,2015-05-0923:14:37.110,2015-05-0916:14:35.737,427218.0,54380.0,102350.0,73037.0,81981.0,144555.0,69306.0,17741.0,200
5,2015-05-0923:14:37.253,2015-05-0916:14:36.370,839990.0,179208.0,180932.0,44711.0,9024.0,34211.0,39580.0,12663.0,200
2,2015-05-0923:14:37.886,2015-05-0916:14:36.782,705136.0,77697.0,56912.0,59900.0,99917.0,76857.0,50507.0,32605.0,200
12,2015-05-0923:14:38.015,2015-05-0916:14:36.738,893863.0,209597.0,71795.0,87415.0,299163.0,169306.0,87665.0,53609.0,200
5,2015-05-0923:14:38.157,2015-05-0916:14:37.378,418009.0,73839.0,120391.0,16208.0,19690.0,11850.0,7865.0,6600.0,200
2,2015-05-0923:14:38.789,2015-05-0916:14:37.804,894648.0,104857.0,39840.0,55830.0,79960.0,202022.0,50254.0,69091.0,200
12,2015-05-0923:14:38.918,2015-05-0916:14:37.722,916792.0,127830.0,142452.0,98803.0,170642.0,24014.0,59035.0,92148.0,200
5,2015-05-0923:14:39.360,2015-05-0916:14:38.375,914458.0,263295.0,171064.0,77746.0,157765.0,234078.0,60943.0,46348.0,200
2,2015-05-0923:14:39.696,2015-05-0916:14:38.786,1366408.0,659119.0,650506.0,234564.0,160590.0,429031.0,339976.0,109963.0,200
12,2015-05-0923:14:40.120,2015-05-0916:14:38.706,764222.0,63852.0,65414.0,42611.0,34548.0,70688.0,24413.0,47135.0,200
5,2015-05-0923:14:40.264,2015-05-0916:14:39.351,104888.0,70583.0,69251.0,11016.0,8153.0,15174.0,6123.0,2022.0,200
2,2015-05-0923:14:40.600,2015-05-0916:14:39.766,1668103.0,130095.0,124805.0,35605.0,48488.0,104207.0,37525.0,16406.0,200
12,2015-05-0923:14:41.024,2015-05-0916:14:39.718,1799841.0,833718.0,82147.0,129317.0,120599.0,141746.0,204401.0,116905.0,200
5,2015-05-0923:14:41.168,2015-05-0916:14:40.343,83307.0,63155.0,27532.0,16919.0,17987.0,8746.0,7092.0,2074.0,200
2,2015-05-0923:14:41.796,2015-05-0916:14:40.798,104518.0,1354798.0,406753.0,290930.0,332030.0,245841.0,91149.0,66963.0,200
12,2015-05-0923:14:41.927,2015-05-0916:14:40.709,2204573.0,277299.0,218080.0,298650.0,238509.0,259364.0,204991.0,95937.0,200
5,2015-05-0923:14:42.373,2015-05-0916:14:41.344,867373.0,737385.0,137135.0,846189.0,908330.0,503359.0,246439.0,199347.0,200
